DiseaseID	Score
614892	7.76361368941701e-06
615954	7.76132209129873e-06
242860	7.76058729283045e-06
154020	7.71898377761704e-06
614069	7.71332274089977e-06
255200	7.64909753075135e-06
217000	7.62508860009386e-06
615468	7.60008685530957e-06
224050	7.58363554918456e-06
615387	7.5485097838393e-06
151050	7.52773428428354e-06
300436	7.50413340550058e-06
602541	7.49723685708956e-06
612520	7.49606598463244e-06
264090	7.49348390045363e-06
277700	7.48719371451764e-06
243110	7.48377232425746e-06
601666	7.47544222931849e-06
615217	7.41351020681908e-06
616345	7.34999895042831e-06
602501	7.32842529727085e-06
130080	7.31464907950115e-06
611225	7.30358370122693e-06
610374	7.3004980128911e-06
611926	7.27440936556167e-06
613493	7.0741232265709e-06
602068	7.04765566920564e-06
241600	7.03515858337091e-06
186830	7.01307972648376e-06
600807	6.92178707649649e-06
612018	6.89728077441828e-06
219150	6.87747404415535e-06
248500	6.84453212259754e-06
600263	6.80892003237591e-06
615139	6.77227284055572e-06
155240	6.7688479449419e-06
612731	6.74025843917535e-06
178900	6.73846026492582e-06
149730	6.69058679938097e-06
211370	6.65890538413562e-06
612782	6.60936330776151e-06
614468	6.55223695138308e-06
615895	6.51290089654184e-06
186740	6.4977087684353e-06
614856	6.49714462791227e-06
614303	6.49667252404349e-06
301900	6.47048332292278e-06
616098	6.40475049988449e-06
219200	6.3752661759522e-06
608189	6.35252185702308e-06
130050	6.33154038479065e-06
616294	6.3201040006943e-06
180700	6.31134631344959e-06
217990	6.30297093212636e-06
614878	6.25273059593275e-06
217030	6.22184086811735e-06
101800	6.18206535457489e-06
608232	6.06649723932242e-06
300270	6.06586878128836e-06
307200	6.05651009159643e-06
210600	6.04805496890666e-06
300400	6.04539021396224e-06
209880	6.02902423007932e-06
612313	5.98043199907885e-06
240900	5.95501890062545e-06
615108	5.92230657663103e-06
612918	5.91837565336076e-06
616452	5.91178610663106e-06
308240	5.90352064920869e-06
182000	5.84015970411744e-06
176390	5.79687620646369e-06
201180	5.76086046000389e-06
243080	5.75336923464253e-06
601942	5.71626275791581e-06
156700	5.70137858764015e-06
607616	5.69379279257808e-06
171300	5.66431514113531e-06
608089	5.64584260494119e-06
264475	5.63988299047241e-06
257200	5.62880837242936e-06
300755	5.60880937543789e-06
612109	5.6001632298907e-06
154780	5.5365311821342e-06
604168	5.51591123835623e-06
213980	5.51083298195502e-06
300218	5.48809102919177e-06
615966	5.47816974899465e-06
265800	5.46035317007063e-06
607174	5.45793797800648e-06
601709	5.42785945964673e-06
149700	5.40744419361922e-06
607685	5.38139504534534e-06
613960	5.33266669482549e-06
119600	5.17478284976886e-06
246200	5.17304393382069e-06
206750	5.12080883237826e-06
224900	5.11526743464106e-06
210745	5.10909159733334e-06
311200	5.08902912382321e-06
301040	5.07993038974736e-06
233700	5.07105703775532e-06
601853	5.06839575115374e-06
613506	5.02972353230217e-06
606367	4.99602864060855e-06
613268	4.96065300819569e-06
159550	4.95222082965775e-06
613270	4.95215213985383e-06
105200	4.9173587520822e-06
267430	4.90030093134375e-06
609135	4.89373521329199e-06
610508	4.87662188066231e-06
610202	4.8595533625071e-06
614438	4.82786821352678e-06
226990	4.74458772217501e-06
616331	4.74037940166048e-06
609968	4.72540642205698e-06
109100	4.72349499826941e-06
235550	4.69784759584999e-06
612513	4.66708063185836e-06
147920	4.65102807544497e-06
601453	4.64574652455398e-06
260350	4.64267389220654e-06
613254	4.63943265529051e-06
129490	4.61945429460559e-06
300455	4.59648527772764e-06
225060	4.59466602244238e-06
610549	4.5769044990305e-06
255310	4.56975248044786e-06
312060	4.5604544438656e-06
219090	4.55908351645147e-06
180920	4.54205043631491e-06
161800	4.53226862053047e-06
615279	4.50782145668442e-06
256800	4.4979707268896e-06
613627	4.49752634390125e-06
262190	4.48601553638118e-06
610185	4.47585248261637e-06
251260	4.45557228104431e-06
185300	4.44075497092975e-06
614225	4.42429281418929e-06
613950	4.41655503418349e-06
300577	4.40871846148638e-06
613671	4.40671308115577e-06
163000	4.3888048903718e-06
615031	4.35325657840691e-06
254500	4.3517648011323e-06
605627	4.3482786985322e-06
100200	4.32882738371347e-06
600496	4.31859424250982e-06
611407	4.30746979142124e-06
616410	4.29888631943703e-06
269400	4.28520302142855e-06
300831	4.26459816173123e-06
300360	4.25668893446476e-06
606960	4.22016561425301e-06
105650	4.21436312790124e-06
115150	4.16697714109336e-06
193300	4.16417715932823e-06
613255	4.12061761823995e-06
213300	4.10779932735248e-06
606445	4.10093108407467e-06
243310	4.08310400290064e-06
148050	4.06592760584636e-06
135550	4.06153912285262e-06
614199	4.02071667396159e-06
601457	4.01969802630677e-06
609049	4.00831597138751e-06
176270	4.00365150072124e-06
267000	3.99127782969831e-06
604498	3.98882450032039e-06
189960	3.98335850659969e-06
610156	3.97193281997948e-06
605714	3.96975811842198e-06
611554	3.96694315772768e-06
615887	3.95724823343351e-06
174800	3.93450020736023e-06
257320	3.89939506439995e-06
233710	3.87568555968173e-06
600512	3.85684229551122e-06
151100	3.85229957559155e-06
229400	3.8424910457403e-06
104290	3.83572868467879e-06
602481	3.80176382251959e-06
603554	3.76692693018386e-06
272950	3.74673077992112e-06
601680	3.73860565696282e-06
144010	3.73282322145504e-06
241200	3.72882192007512e-06
126900	3.72688031433602e-06
203000	3.72395237927649e-06
242900	3.69916186715134e-06
262400	3.6914024138584e-06
308220	3.6843074804258e-06
601353	3.66357668596537e-06
227330	3.66015432210619e-06
306400	3.65598583470549e-06
606242	3.57074427372637e-06
247630	3.5583626183994e-06
